id,titulo,preco,linkproduto,thumby
MLB1864812708,"Casa Com 2 Dormitórios À Venda, 160 M² Por R$ 369.000,00 - Velha - Blumenau/sc - Ca0513",369000,https://casa.mercadolivre.com.br/MLB-1864812708-casa-com-2-dormitorios-venda-160-m-por-r-36900000-velha-blumenausc-ca0513-_JM,http://http2.mlstatic.com/D_666837-MLB45690427996_042021-I.jpg
MLB1851244308,Oportunidade - Próximo Da Oktoberfest,359990,https://casa.mercadolivre.com.br/MLB-1851244308-oportunidade-proximo-da-oktoberfest-_JM,http://http2.mlstatic.com/D_661938-MLB45516707344_042021-I.jpg
MLB1884971808,Casa Com 6 Quartos (1 Suíte Máster Com Hidro) 3 Andares,680000,https://casa.mercadolivre.com.br/MLB-1884971808-casa-com-6-quartos-1-suite-master-com-hidro-3-andares-_JM,http://http2.mlstatic.com/D_875172-MLB46007463378_052021-I.jpg
MLB1480298280,Casa Na Escola Agricola - 6002453v,350000,https://casa.mercadolivre.com.br/MLB-1480298280-casa-na-escola-agricola-6002453v-_JM,http://http2.mlstatic.com/D_781148-MLB41254305455_032020-I.jpg
MLB1633069650,Casa - 5 Dormitórios - Bairro Fortalea - Blumenau/sc - 6002713v,790000,https://casa.mercadolivre.com.br/MLB-1633069650-casa-5-dormitorios-bairro-fortalea-blumenausc-6002713v-_JM,http://http2.mlstatic.com/D_920355-MLB43213732754_082020-I.jpg
MLB1903288525,"Sobrado Novo No Bairro Passo Manso Com 2 Dormitórios, Vaga De Garagem E 2 Andares. - 35711965v",248000,https://casa.mercadolivre.com.br/MLB-1903288525-sobrado-novo-no-bairro-passo-manso-com-2-dormitorios-vaga-de-garagem-e-2-andares-35711965v-_JM,http://http2.mlstatic.com/D_916240-MLB46246229786_062021-I.jpg
MLB1903283684,"Sobrado Novo No Bairro Passo Manso Com 2 Dormitórios, Vaga De Garagem, 2 Andares E Com Acabamento Em Porcelanato. - 35711964v",248000,https://casa.mercadolivre.com.br/MLB-1903283684-sobrado-novo-no-bairro-passo-manso-com-2-dormitorios-vaga-de-garagem-2-andares-e-com-acabamento-em-porcelanato-35711964v-_JM,http://http2.mlstatic.com/D_871431-MLB46246220130_062021-I.jpg
MLB1903278586,Sobrado Novo No Bairro Passo Manso Com 2 Dormitórios Vaga De Garagem E 2 Andares. - 35711961v,248000,https://casa.mercadolivre.com.br/MLB-1903278586-sobrado-novo-no-bairro-passo-manso-com-2-dormitorios-vaga-de-garagem-e-2-andares-35711961v-_JM,http://http2.mlstatic.com/D_828882-MLB46246149281_062021-I.jpg
MLB1899650558,"Sobrado Passo Manso, Pronto Para Morar Dois Dormitórios, Lavabo, Banheiro, Sala, Cozinha, Churrasqueira, Fino Acabamento Com Espaço Nos Fundos. - 35712004v",250000,https://casa.mercadolivre.com.br/MLB-1899650558-sobrado-passo-manso-pronto-para-morar-dois-dormitorios-lavabo-banheiro-sala-cozinha-churrasqueira-fino-acabamento-com-espaco-nos-fundos-35712004v-_JM,http://http2.mlstatic.com/D_989848-MLB46200727109_052021-I.jpg
MLB1898944381,Casa A Venda Com Área Total 198m² - 3 Quartos 1 Suíte - 3 Vaga De Garagens  / Bairro Salto Weissbach. - 35711967v,345000,https://casa.mercadolivre.com.br/MLB-1898944381-casa-a-venda-com-area-total-198m-3-quartos-1-suite-3-vaga-de-garagens-bairro-salto-weissbach-35711967v-_JM,http://http2.mlstatic.com/D_949525-MLB46193603499_052021-I.jpg
MLB1905074402,"Casa No Bairro Itoupava Norte De Alvenaria, Contendo 5 Dormitórios, Sendo 1 Suíte , Sala Cozinha, 3 Banheiro Área De Serviço Fora Da Casa E Garagem, Mais 1 Edícula Na Parte Superior Da Casa Com Sacad",320000,https://casa.mercadolivre.com.br/MLB-1905074402-casa-no-bairro-itoupava-norte-de-alvenaria-contendo-5-dormitorios-sendo-1-suite-sala-cozinha-3-banheiro-area-de-servico-fora-da-casa-e-garagem-mais-1-edicula-na-parte-superior-da-casa-com-sacad-_JM,http://http2.mlstatic.com/D_984529-MLB46268101268_062021-I.jpg
MLB1899645387,"Sobrado Passo Manso,  Bem Localizado, Com Excelente Acabamento, Em Construção Prazo De Finalização Da Obra  Agosto De 2021 - 35711958v",243000,https://casa.mercadolivre.com.br/MLB-1899645387-sobrado-passo-manso-bem-localizado-com-excelente-acabamento-em-construco-prazo-de-finalizaco-da-obra-agosto-de-2021-35711958v-_JM,http://http2.mlstatic.com/D_712127-MLB46200725613_052021-I.jpg
MLB1899645630,"Sobrado Passo Manso,  Bem Localizado, Com Excelente Acabamento, Em Construção Prazo De Finalização Da Obra  Agosto De 2021 - 35711957v",243000,https://casa.mercadolivre.com.br/MLB-1899645630-sobrado-passo-manso-bem-localizado-com-excelente-acabamento-em-construco-prazo-de-finalizaco-da-obra-agosto-de-2021-35711957v-_JM,http://http2.mlstatic.com/D_978321-MLB46200730100_052021-I.jpg
MLB1904004378,"Casa Averbada Com 3 Dormitórios, Na Melhor Região Da Itoupava Norte. - 35712024v",580000,https://casa.mercadolivre.com.br/MLB-1904004378-casa-averbada-com-3-dormitorios-na-melhor-regio-da-itoupava-norte-35712024v-_JM,http://http2.mlstatic.com/D_688863-MLB46253238637_062021-I.jpg
MLB1899645311,"Sobrado Passo Manso,  Bem Localizado, Com Excelente Acabamento, Em Construção Prazo De Finalização Da Obra  Agosto De 2021 - 35711959v",420000,https://casa.mercadolivre.com.br/MLB-1899645311-sobrado-passo-manso-bem-localizado-com-excelente-acabamento-em-construco-prazo-de-finalizaco-da-obra-agosto-de-2021-35711959v-_JM,http://http2.mlstatic.com/D_818078-MLB46200722890_052021-I.jpg
MLB1901322233,Casa Em Blumenau - Progresso - 865,190000,https://casa.mercadolivre.com.br/MLB-1901322233-casa-em-blumenau-progresso-865-_JM,http://http2.mlstatic.com/D_711302-MLB46220338486_052021-I.jpg
