id,titulo,preco,linkproduto,thumby
MLB1894139502,Fox 1.0 G2 Trend 4p Flex,31900,https://carro.mercadolivre.com.br/MLB-1894139502-fox-10-g2-trend-4p-flex-_JM,http://http2.mlstatic.com/D_674873-MLB46139856879_052021-I.jpg
MLB1882995524,Volkswagen Fox 1.6 Mi 8v 2013,34889,https://carro.mercadolivre.com.br/MLB-1882995524-volkswagen-fox-16-mi-8v-2013-_JM,http://http2.mlstatic.com/D_631497-MLB45982755004_052021-I.jpg
MLB1824473984,Fox G2 1.0 Flex Financio Sem Entrada ,27450,https://carro.mercadolivre.com.br/MLB-1824473984-fox-g2-10-flex-financio-sem-entrada-_JM,http://http2.mlstatic.com/D_897591-MLB45714398765_042021-I.jpg
MLB1898810637,Volkswagen Fox 1.0 Mi 8v Flex 4p Manual,27920,https://carro.mercadolivre.com.br/MLB-1898810637-volkswagen-fox-10-mi-8v-flex-4p-manual-_JM,http://http2.mlstatic.com/D_627579-MLB46192553165_052021-I.jpg
MLB1892614129,Volkswagen Fox Fox 1.0 Mi Total Flex 8v 5p Flex Manual,31900,https://carro.mercadolivre.com.br/MLB-1892614129-volkswagen-fox-fox-10-mi-total-flex-8v-5p-flex-manual-_JM,http://http2.mlstatic.com/D_992908-MLB46119213770_052021-I.jpg
MLB1899818357,Volkswagen Fox Vw Fox Trend 1.0 2013 4 Portas Completo,29890,https://carro.mercadolivre.com.br/MLB-1899818357-volkswagen-fox-vw-fox-trend-10-2013-4-portas-completo-_JM,http://http2.mlstatic.com/D_635852-MLB46202780956_052021-I.jpg
MLB1848342501,Volkswagen Fox 2013 Completo 1.6 8v Flex Revisado Novo ,32900,https://carro.mercadolivre.com.br/MLB-1848342501-volkswagen-fox-2013-completo-16-8v-flex-revisado-novo-_JM,http://http2.mlstatic.com/D_748452-MLB45483917416_042021-I.jpg
MLB1856931258,Volkswagen Fox 1.0 Mi 8v Flex 4p Manual,30990,https://carro.mercadolivre.com.br/MLB-1856931258-volkswagen-fox-10-mi-8v-flex-4p-manual-_JM,http://http2.mlstatic.com/D_706089-MLB45580888233_042021-I.jpg
MLB1894637228,Volkswagen Fox 1.6 Mi Bluemotion 8v Flex 4p Manual,34990,https://carro.mercadolivre.com.br/MLB-1894637228-volkswagen-fox-16-mi-bluemotion-8v-flex-4p-manual-_JM,http://http2.mlstatic.com/D_653870-MLB46143919437_052021-I.jpg
MLB1863005444, Volkswagen Fox 1.0 Mi Total Flex 8v 5p Manual,31900,https://carro.mercadolivre.com.br/MLB-1863005444-volkswagen-fox-10-mi-total-flex-8v-5p-manual-_JM,http://http2.mlstatic.com/D_776493-MLB45669112198_042021-I.jpg
MLB1880937822,Fox Trend 1.6 Flex Manual Ano 2013 ,32900,https://carro.mercadolivre.com.br/MLB-1880937822-fox-trend-16-flex-manual-ano-2013-_JM,http://http2.mlstatic.com/D_884637-MLB45922572336_052021-I.jpg
MLB1852955300,Volkswagen Fox 1.0 Mi Trend 8v,30990,https://carro.mercadolivre.com.br/MLB-1852955300-volkswagen-fox-10-mi-trend-8v-_JM,http://http2.mlstatic.com/D_711208-MLB45534477805_042021-I.jpg
MLB1850566996,Volkswagen Fox 1.0 Mi Trend 8v,29490,https://carro.mercadolivre.com.br/MLB-1850566996-volkswagen-fox-10-mi-trend-8v-_JM,http://http2.mlstatic.com/D_837753-MLB45507728379_042021-I.jpg
MLB1899345890,Fox 1.0 Mi Trend 8v Flex 4p Manual,32900,https://carro.mercadolivre.com.br/MLB-1899345890-fox-10-mi-trend-8v-flex-4p-manual-_JM,http://http2.mlstatic.com/D_634615-MLB46197353198_052021-I.jpg
MLB1874542241,Vw Fox Trend 2013 - 1.6 Mi 8v Flex 4p Manual - Completo,32900,https://carro.mercadolivre.com.br/MLB-1874542241-vw-fox-trend-2013-16-mi-8v-flex-4p-manual-completo-_JM,http://http2.mlstatic.com/D_656990-MLB45812299496_052021-I.jpg
MLB1901152921,Volkswagen Fox 1.0 Mi 8v Flex 4p Manual 2012/2013,31900,https://carro.mercadolivre.com.br/MLB-1901152921-volkswagen-fox-10-mi-8v-flex-4p-manual-20122013-_JM,http://http2.mlstatic.com/D_985884-MLB46218153066_052021-I.jpg
MLB1899864100,Volkswagen Fox 1.0 Mi Trend 8v Flex 4p Manual 2012/2013,31900,https://carro.mercadolivre.com.br/MLB-1899864100-volkswagen-fox-10-mi-trend-8v-flex-4p-manual-20122013-_JM,http://http2.mlstatic.com/D_987600-MLB46203038325_052021-I.jpg
MLB1899023079,Volkswagen Fox 1.6 Flex Prime 2013,37890,https://carro.mercadolivre.com.br/MLB-1899023079-volkswagen-fox-16-flex-prime-2013-_JM,http://http2.mlstatic.com/D_733258-MLB46194355675_052021-I.jpg
MLB1858733819,Volkswagen Fox 1.0 Vht Trend Total Flex 5p 2013,26900,https://carro.mercadolivre.com.br/MLB-1858733819-volkswagen-fox-10-vht-trend-total-flex-5p-2013-_JM,http://http2.mlstatic.com/D_703898-MLB45607425172_042021-I.jpg
MLB1729378850,Volkswagen Fox 2013/2014 5916,31900,https://carro.mercadolivre.com.br/MLB-1729378850-volkswagen-fox-20132014-5916-_JM,http://http2.mlstatic.com/D_792449-MLB44193129741_112020-I.jpg
